Episode,SMILES,Reward
2,Cc1c(Cl)c2c(-c3c(S)cc(-c4cc(F)ccc4F)c(F)c3OCl)c(S)c1-c1c(cc(F)c(-c3ccc(OF)c(-c4ccccc4)c3)c1Cl)O2,29.277569216585235
4,FSOc1c(F)c(Cl)c2c(-c3c(Cl)c4c(F)c(F)c3-4)c1-2,61.10545649656601
13,Fc1c2[nH]c3c(Cl)c2c13,3.948387254448023
15,Fc1c2[nH]c3c4c(F)c5c3c5c(c(F)c2C(F)(F)F)c14,26.18347445297927
17,Fc1c2c(Cl)c-2c2ssc12,3.0222716787338486
22,FOC1=C2C(F)=C3C(F)=C1N1ON=c4c5c6oc7c8c(c(F)c(c(c6F)c(SCl)c85)c47)C321,14.228636922611951
26,Fc1c2c3c(F)c2c13,41.966575562017105
28,Fc1c(Cl)c2on3c4nc1c4c23,7.800140959265256
29,Cc1cc(-c2c(O)c(Cl)c(F)c(Sc3c(Cl)c(Cl)c4c(-c5c(F)c(-c6cc(Cl)cc(Cl)c6)c(SCl)c(S)c5Cl)c3-4)c2OSO)cc(F)c1CO,3.534865891296186
31,FOC(F)(Cl)c1c2c3c(Cl)c2c13,67.1006284945169
32,FOc1c(OCl)c(OSCl)c2c3c4c(F)c5c(c3-4)C(Cl)(OF)c1c52,18.430550444678385
34,Clc1c2c3c(Cl)c2c13,44.92993588386001
35,FSn1c2c3c(Cl)c-3c(F)c2n1Cl,0.694593337756602
47,FSc1c(Cl)c(F)c2c(F)c1O2,81.66260401930988
50,FOC1(Cl)SC2(F)c3c4c(Cl)c1c2c3-4,82.12499207080631
51,Fc1c(SCl)c2c3c1c23,5.582445331613314
52,FSc1c2c(Cl)c3c(c1-2)O3,8.927351312736361
53,Fc1c(Cl)c2c(OCl)c(F)c1-2,40.62406121761418
58,Clc1c(Cl)c2oc1c1c2O1,6.9817577734382255
59,Clc1c2c(c3c(Cl)c1-3)S2,47.27595294590934
69,FOc1c(Cl)c(OF)c2c(c1C(F)(OCl)C(c1ccccc1F)C(Cl)Nc1cc(S)ccc1Cl)c1c3c(OSc4c5c(Cl)c6c-5c4-6)c(Cl)c3c21,9.656292548646523
73,Fc1c(Cl)c2c(F)c-2c1Cl,21.205287305420732
74,FOc1c(Cl)c(F)c(F)c2c1S2,116.62008205662322
86,FOc1c(F)c(F)c2c(Cl)c1-2,40.442530902783695
89,FSc1c(F)c2sc2c2oc12,15.759001784913238
93,Fc1c2c3c(SCl)c(c1O2)S3,90.08109956008117
98,FOC1(F)c2c(Cl)c(F)c3c1c2-3,0.8155690385710157
102,FSc1c(F)c2c3c1c23,3.3886160645362082
110,Fc1c2oc3c4c(OCl)c5c6c(F)c1n(c26)c3c45,80.38999265745694
114,Fc1c(SCl)c(-c2c(Cl)c3oc4c2c34)c2c(F)c1-2,72.23512022344238
116,FOc1c(F)c(F)c(Cl)c2c1OSC#C2,75.88739223460647
130,Nc1c(F)c(S)c(F)c2c1c1c3c(-c4cccc(F)c4)cc(C(N)c4ccc(F)cc4)c1c1c(N)c(F)c(-c4ccc(Cl)c(F)c4)c(c12)C3F,14.664242791741355
132,Fc1c(F)c2c(-c3c4c(F)c5ssc5c3-4)c(SCl)c1-2,45.70793046499177
134,FSc1c(Cl)c2oc3c4oc1c1c2sn(F)c3c(F)c(F)c41,30.91086757141691
137,Fc1c(Oc2c3c(Cl)c4c-3c2-4)c2c3c1c23,84.94382313464503
138,Fc1c(OCl)c2c(F)c-2c1SCl,90.67203762253283
140,Fc1c2c3c(Cl)c2c13,43.572953387465844
147,FSC1(F)Sc2c3c(F)c4c2c4c2c1c(Cl)c1c3c21,49.74943566063469
153,Clc1c2soc3c(Cl)c2c13,3.782537384236326
